,회사명,종목코드
303,경인양행,012610
304,경인전자,009140
305,국보,001140
306,기신정기,092440
307,녹십자,006280
308,대덕,008060
309,대동전자,008110
310,대림비앤코,005750
311,대양금속,009190
312,대창,012800
313,동국제강,001230
314,동양물산기업,002900
315,동화약품,000020
316,두산밥캣,241560
317,두산중공업,034020
318,디아이동일,001530
319,디아이씨,092200
320,롯데관광개발,032350
321,롯데칠성음료,005300
322,롯데케미칼,011170
323,맵스리얼티1,094800
324,명신산업,009900
325,무학,033920
326,미래아이앤지,007120
327,바다로19호,155900
328,부산주공,005030
329,사조씨푸드,014710
330,삼성전자,005930
331,삼성제약,001360
332,삼원강재,023000
333,삼익THK,004380
334,삼진제약,005500
335,삼화왕관,004450
336,서연,007860
337,선창산업,002820
338,성신양회,004980
339,세아특수강,019440
340,세우글로벌,013000
341,세원정공,021820
342,세진중공업,075580
343,세화아이엠씨,145210
344,셀트리온,068270
345,신라교역,004970
346,신성통상,005390
347,신세계,004170
348,아모레퍼시픽,090430
349,아세아,002030
350,아이에스동서,010780
351,에스제이엠,123700
352,에이리츠,140910
353,엔에스쇼핑,138250
354,엔케이,085310
355,엔피씨,004250
356,영원무역,111770
357,영원무역홀딩스,009970
358,우리들휴브레인,118000
359,우신시스템,017370
360,우진,105840
361,우진플라임,049800
362,유니드,014830
363,유진증권,001200
364,이건산업,008250
365,이노션,214320
366,이연제약,102460
367,인스코비,006490
368,잇츠한불,226320
369,조광페인트,004910
370,조선내화,000480
371,진에어,272450
372,참엔지니어링,009310
373,케이씨씨글라스,344820
374,코오롱글로벌,003070
375,키위미디어그룹,012170
376,태경케미컬,006890
377,토니모리,214420
378,페이퍼코리아,001020
379,폴루스바이오팜,007630
380,하나제약,293480
381,한국쉘석유,002960
382,한국철강,104700
383,한국화장품제조,003350
384,한미글로벌,053690
385,한솔피엔에스,010420
386,한양증권,001750
387,한진중공업,097230
388,한진중공업홀딩스,003480
389,현대일렉트릭,267260
390,현대제철,004020
391,황금에스티,032560
392,AJ네트웍스,095570
393,AK홀딩스,006840
394,CJ,001040
395,CJ씨푸드,011150
396,DB금융투자,016610
397,DGB금융지주,139130
398,DL,000210
399,E1,017940
400,F&F,007700
401,KEC,092220
402,KISCO홀딩스,001940
403,LG,003550
404,LG디스플레이,034220
405,LS전선아시아,229640
406,NH프라임리츠,338100
407,S-Oil,010950
408,SK네트웍스,001740
409,SK바이오사이언스,302440
410,SK케미칼,285130
411,SNT모티브,064960
412,경동인베스트,012320
413,계룡건설산업,013580
414,고려아연,010130
415,국동,005320
416,남양유업,003920
417,남해화학,025860
418,노루페인트,090350
419,대상,001680
420,대성홀딩스,016710
421,대한제강,084010
422,덴티움,145720
423,두산퓨얼셀,336260
424,만호제강,001080
425,모나미,005360
426,문배철강,008420
427,미창석유공업,003650
428,백광산업,001340
429,벽산,007210
430,부광약품,003000
431,부국철강,026940
432,부산도시가스,015350
433,비비안,002070
434,비상교육,100220
435,사조산업,007160
436,삼부토건,001470
437,삼성공조,006660
438,삼성생명,032830
439,삼성전기,009150
440,삼양사,145990
441,삼양패키징,272550
442,삼일씨엔에스,004440
443,삼화전기,009470
444,샘표,007540
445,서흥,008490
446,세아베스틸,001430
447,세하,027970
448,수산중공업,017550
449,신세계건설,034300
450,신영와코루,005800
451,신영증권,001720
452,신원,009270
453,신풍제지,002870
454,에스엘,005850
455,에이블씨엔씨,078520
456,에이프로젠 KIC,007460
457,엘브이엠씨,900140
458,엘에스일렉트릭,010120
459,오리온,271560
460,우리금융지주,316140
461,우성사료,006980
462,웰바이오텍,010600
463,유니온,000910
464,유안타증권,003470
465,일진전기,103590
466,조광피혁,004700
467,조일알미늄,018470
468,진흥기업,002780
469,카카오,035720
470,케이씨티시,009070
471,케이티,030200
472,코리안리,003690
473,코스맥스비티아이,044820
474,코오롱머티리얼,144620
475,크라운제과,264900
476,크라운해태홀딩스,005740
477,키움증권,039490
478,태림포장,011280
479,태원물산,001420
480,티에이치엔,019180
481,팬오션,028670
482,평화산업,090080
483,하나투어,039130
484,하이골드12호,172580
485,한국앤컴퍼니,000240
486,한국프랜지공업,010100
487,한독,002390
488,한세엠케이,069640
489,한솔제지,213500
490,한솔케미칼,014680
491,한솔테크닉스,004710
492,한진,002320
493,해성디에스,195870
494,현대리바트,079430
495,현대백화점,069960
496,형지엘리트,093240
497,혜인,003010
498,화성산업,002460
499,화승코퍼레이션,013520
500,효성첨단소재,298050
501,휴비스,079980
502,BGF,027410
503,CS홀딩스,000590
504,DB,012030
505,GS리테일,007070
506,HDC,012630
507,JW생명과학,234080
508,KC그린홀딩스,009440
509,KR모터스,000040
510,LG유플러스,032640
511,SNT중공업,003570
512,SNT홀딩스,036530
513,SPC삼립,005610
514,경농,002100
515,경동도시가스,267290
516,경방,000050
517,고려제강,002240
518,광동제약,009290
519,광주신세계,037710
520,금비,008870
521,금호타이어,073240
522,대림통상,006570
523,대신증권,003540
524,대원강업,000430
525,대원전선,006340
526,대원화성,024890
527,대유에이텍,002880
528,더블유게임즈,192080
529,동부건설,005960
530,동성제약,002210
531,동아에스티,170900
532,동양고속,084670
533,동양철관,008970
534,동원수산,030720
535,롯데쇼핑,023530
536,메리츠화재,000060
537,미래에셋생명,085620
538,미원에스씨,268280
539,부산산업,011390
540,삼성중공업,010140
541,삼익악기,002450
542,삼천리,004690
543,서울식품공업,004410
544,성창기업지주,000180
545,세기상사,002420
546,세종공업,033530
547,솔루엠,248070
548,시디즈,134790
549,아세아시멘트,183190
550,아시아나항공,020560
551,알루코,001780
552,에스제이엠홀딩스,025530
553,오뚜기,007310
554,유성기업,002920
555,유한양행,000100
556,이리츠코크렙,088260
557,이수페타시스,007660
558,이아이디,093230
559,인디에프,014990
560,일동홀딩스,000230
561,일진홀딩스,015860
562,자이에스앤디,317400
563,자화전자,033240
564,전방,000950
565,제이알글로벌리츠,348950
566,제이콘텐트리,036420
567,제일기획,030000
568,지투알,035000
569,진양폴리우레탄,010640
570,케이씨씨,002380
571,코람코에너지리츠,357120
572,코스맥스,192820
573,코웨이,021240
574,콤텍시스템,031820
575,태경비케이,014580
576,티웨이항공,091810
577,퍼스텍,010820
578,포스코인터내셔널,047050
579,하이골드3호,153360
580,한국ANKOR유전,152550
581,한국내화,010040
582,한국화장품,123690
583,한라,014790
584,한미반도체,042700
585,한섬,020000
586,한세실업,105630
587,한솔홈데코,025750
588,한올바이오파마,009420
589,한전산업,130660
590,한화손해보험,000370
591,핸즈코퍼레이션,143210
592,현대모비스,012330
593,현대오토에버,307950
594,현대자동차,005380
595,화승엔터프라이즈,241590
596,화인베스틸,133820
597,화천기계,010660
598,후성,093370
599,휠라홀딩스,081660
600,휴스틸,005010
601,DB하이텍,000990
602,DL이앤씨,375500
603,HSD엔진,082740
604,KTB투자증권,030210
605,KTcs,058850
606,LG생활건강,051900
607,SG세계물산,004060
608,SIMPAC,009160
609,SKC,011790
610,SK가스,018670
611,SK디앤디,210980
612,STX엔진,077970
613,STX중공업,071970
614,TCC스틸,002710
615,가온전선,000500
616,경보제약,214390
617,계양전기,012200
618,고려산업,002140
619,광전자,017900
620,기아자동차,000270
621,넥센,005720
622,넥스트사이언스,003580
623,농심,004370
624,다우기술,023590
625,대교,019680
626,대성산업,128820
627,대유플러스,000300
628,대한전선,001440
629,대한제분,001130
630,대한항공,003490
631,대한화섬,003830
632,대호에이엘,069460
633,동남합성,023450
634,동방,004140
635,동아타이어,282690
636,동양피스톤,092780
637,동원시스템즈,014820
638,디와이파워,210540
639,롯데리츠,330590
640,메리츠금융지주,138040
641,무림P&P,009580
642,미원상사,002840
643,방림,003610
644,보령제약,003850
645,사조오양,006090
646,삼아알미늄,006110
647,삼화전자공업,011230
648,삼화페인트공업,000390
649,새론오토모티브,075180
650,성문전자,014910
651,세아제강지주,003030
652,신세계I&C,035510
653,쌍방울,102280
654,쌍용양회공업,003410
655,아남전자,008700
656,아세아제지,002310
657,아시아나IDT,267850
658,애경유화,161000
659,에어부산,298690
660,에이엔피,015260
661,엔케이물산,009810
662,영흥,012160
663,오리엔트바이오,002630
664,오리온홀딩스,001800
665,용평리조트,070960
666,웅진,016880
667,원림,005820
668,유니퀘스트,077500
669,이엔플러스,074610
670,이지스밸류플러스리츠,334890
671,인바이오젠,101140
672,일동제약,249420
673,일신석재,007110
674,일양약품,007570
675,주연테크,044380
676,지코,010580
677,케이비아이동국실업,001620
678,케이씨,029460
679,케이티스카이라이프,053210
680,코오롱,002020
681,티웨이홀딩스,004870
682,파미셀,005690
683,평화홀딩스,010770
684,풀무원,017810
685,프레스티지바이오파마,950210
686,하이트진로홀딩스,000140
687,한국단자공업,025540
688,한국조선해양,009540
689,한국카본,017960
690,한농화성,011500
691,한미약품,128940
692,한익스프레스,014130
693,한일현대시멘트,006390
694,한전기술,052690
695,한화시스템,272210
696,한화투자증권,003530
697,현대글로비스,086280
698,현대약품,004310
699,현대중공업지주,267250
700,현대해상,001450
701,현대홈쇼핑,057050
702,효성중공업,298040
703,효성티앤씨,298020
704,BYC,001460
705,DB손해보험,005830
706,GS,078930
707,HMM,011200
708,JB금융지주,175330
709,LS네트웍스,000680
710,NH투자증권,005940
711,SK,034730
712,SK디스커버리,006120
713,강남제비스코,000860
714,경동나비엔,009450
715,광명전기,017040
716,교촌에프앤비,339770
717,그린케미칼,083420
718,금호석유화학,011780
719,금호에이치티,214330
720,깨끗한나라,004540
721,남광토건,001260
722,노루홀딩스,000320
723,대동공업,000490
724,대상홀딩스,084690
725,대성에너지,117580
726,대우부품,009320
727,대우조선해양,042660
728,대창단조,015230
729,대현,016090
730,동성화학,005190
731,동아지질,028100
732,동일고무벨트,163560
733,동일산업,004890
734,동일제강,002690
735,두올,016740
736,드림텍,192650
737,롯데지주,004990
738,모나리자,012690
739,무림페이퍼,009200
740,미래산업,025560
741,보해양조,000890
742,비케이탑스,030790
743,빅히트,352820
744,삼성물산,028260
745,삼화콘덴서공업,001820
746,상신브레이크,041650
747,서울도시가스,017390
748,성안,011300
749,세원셀론텍,091090
750,신대양제지,016590
751,신흥,004080
752,쎌마테라퓨틱스,015540
753,씨에스윈드,112610
754,에스원,012750
755,에스케이바이오팜,326030
756,에쓰씨엔지니어링,023960
757,에이프로젠제약,003060
758,영풍제지,006740
759,예스코홀딩스,015360
760,우리들제약,004720
761,우리종금,010050
762,우진아이엔에스,010400
763,웅진씽크빅,095720
764,유수홀딩스,000700
765,유엔젤,072130
766,율촌화학,008730
767,이지스레지던스리츠,350520
768,이화산업,000760
769,인팩,023810
770,일신방직,003200
771,일진디스플,020760
772,일진머티리얼즈,020150
773,제주은행,006220
774,제주항공,089590
775,종근당,185750
776,진양산업,003780
777,진양홀딩스,100250
778,천일고속,000650
779,체시스,033250
780,카프로,006380
781,케이티앤지,033780
782,태광산업,003240
783,태영건설,009410
784,풍산,103140
785,하나금융지주,086790
786,한국가스공사,036460
787,한국전력공사,015760
788,한국콜마,161890
789,한성기업,003680
790,한세예스24홀딩스,016450
791,한일시멘트,300720
792,한일홀딩스,003300
793,한전KPS,051600
794,한진칼,180640
795,한창,005110
796,현대건설,000720
797,현대그린푸드,005440
798,현대로템,064350
799,현대미포조선,010620
800,현대위아,011210
801,현대종합상사,011760
802,화신,010690
803,휴켐스,069260
804,흥국화재,000540
